更新时间,#genre#
2025-03-30 16:29:42,url


央视频道,#genre#
CCTV-5体育标清,http://27.46.65.16:17088/udp/239.0.1.104:5053
CCTV-5高清测试,http://27.46.65.16:17088/udp/239.0.1.175:6035
CCTV-5高清测试,http://27.46.65.16:17088/udp/239.0.1.175:6035
CCTV-6电影标清,http://27.46.65.16:17088/udp/239.0.1.105:5054
CCTV-6电影标清,http://27.46.65.16:17088/udp/239.0.1.105:5054
CCTV-6高清测试,http://27.46.65.16:17088/udp/239.0.1.176:6036
CCTV-6高清测试,http://27.46.65.16:17088/udp/239.0.1.176:6036
CCTV-7军事农业标清,http://27.46.65.16:17088/udp/239.0.1.68:8024
CCTV-7军事农业标清,http://27.46.65.16:17088/udp/239.0.1.68:8024
CCTV-7军事农业高清,http://27.46.65.16:17088/udp/239.0.1.96:8104
CCTV-7军事农业高清,http://27.46.65.16:17088/udp/239.0.1.96:8104
CCTV-8电视剧,http://27.46.65.16:17088/udp/239.0.1.106:5055
CCTV-8电视剧,http://27.46.65.16:17088/udp/239.0.1.106:5055
CCTV-8高清测试,http://27.46.65.16:17088/udp/239.0.1.174:6034
CCTV-8高清测试,http://27.46.65.16:17088/udp/239.0.1.174:6034
CCTV-9纪录标清,http://27.46.65.16:17088/udp/239.0.1.69:8032
CCTV-9纪录标清,http://27.46.65.16:17088/udp/239.0.1.69:8032
CCTV-9纪录高清,http://27.46.65.16:17088/udp/239.0.1.97:8112
CCTV-9纪录高清,http://27.46.65.16:17088/udp/239.0.1.97:8112
CCTV-10科教标清,http://27.46.65.16:17088/udp/239.0.1.70:8228
CCTV-10科教标清,http://27.46.65.16:17088/udp/239.0.1.70:8228
CCTV-10科教高清,http://27.46.65.16:17088/udp/239.0.1.98:8116
CCTV-10科教高清,http://27.46.65.16:17088/udp/239.0.1.98:8116
CCTV-11戏曲标清,http://27.46.65.16:17088/udp/239.0.1.71:5400
CCTV-11戏曲标清,http://27.46.65.16:17088/udp/239.0.1.71:5400
CCTV-12社会与法标清,http://27.46.65.16:17088/udp/239.0.1.72:8232
CCTV-12社会与法标清,http://27.46.65.16:17088/udp/239.0.1.72:8232
CCTV-12社会与法高清,http://27.46.65.16:17088/udp/239.0.1.99:8124
CCTV-12社会与法高清,http://27.46.65.16:17088/udp/239.0.1.99:8124
CCTV-13新闻标清,http://27.46.65.16:17088/udp/239.0.1.73:8264
CCTV-13新闻标清,http://27.46.65.16:17088/udp/239.0.1.73:8264
CCTV-14少儿标清,http://27.46.65.16:17088/udp/239.0.1.74:8236
CCTV-14少儿标清,http://27.46.65.16:17088/udp/239.0.1.74:8236
CCTV-14少儿高清,http://27.46.65.16:17088/udp/239.0.1.100:8132
CCTV-14少儿高清,http://27.46.65.16:17088/udp/239.0.1.100:8132
CCTV-15音乐标清,http://27.46.65.16:17088/udp/239.0.1.75:8052
CCTV-15音乐标清,http://27.46.65.16:17088/udp/239.0.1.75:8052
CCTV-17农业,http://27.46.65.16:17088/udp/239.0.1.192:9264
CCTV-17农业,http://27.46.65.16:17088/udp/239.0.1.192:9264
CCTV-NEWS标清,http://27.46.65.16:17088/udp/239.0.1.76:8056
CCTV-NEWS标清,http://27.46.65.16:17088/udp/239.0.1.76:8056
